Participant Id	Tumor Type	Annotation	Filter Reason	Removed Samples	Chosen Sample
TCGA-BL-A13J	BLCA	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_isoform_expression__data	Analyte Replicate Filter	TCGA-BL-A13J-01A-11R-A10V-13	TCGA-BL-A13J-01B-04R-A27D-13
TCGA-BL-A0C8	BLCA	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_isoform_expression__data	Analyte Replicate Filter	TCGA-BL-A0C8-01A-11R-A10V-13	TCGA-BL-A0C8-01B-04R-A27D-13
TCGA-BL-A13J	BLCA	methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	Analyte Replicate Filter	TCGA-BL-A13J-01A-11D-A10W-05	TCGA-BL-A13J-01B-04D-A276-05
TCGA-BL-A0C8	BLCA	methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	Analyte Replicate Filter	TCGA-BL-A0C8-01A-11D-A10W-05	TCGA-BL-A0C8-01B-04D-A276-05
TCGA-BL-A13I	BLCA	methylation__humanmethylation450__jhu_usc_edu__Level_3__within_bioassay_data_set_function__data	Analyte Replicate Filter	TCGA-BL-A13I-01A-11D-A13Z-05	TCGA-BL-A13I-01B-04D-A276-05
TCGA-BL-A13J	BLCA	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Analyte Replicate Filter	TCGA-BL-A13J-01A-11R-A10V-13	TCGA-BL-A13J-01B-04R-A27D-13
TCGA-BL-A0C8	BLCA	mirnaseq__illuminahiseq_mirnaseq__bcgsc_ca__Level_3__miR_gene_expression__data	Analyte Replicate Filter	TCGA-BL-A0C8-01A-11R-A10V-13	TCGA-BL-A0C8-01B-04R-A27D-13
TCGA-A6-2682	COAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__tangent_copynumber__data	Analyte Replicate Filter	TCGA-A6-2682-01A-01D-1406-01	TCGA-A6-2682-01A-01D-1549-01
TCGA-AA-3522	COAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__tangent_copynumber__data	Analyte Replicate Filter	TCGA-AA-3522-01A-01D-0819-01	TCGA-AA-3522-01A-01D-1549-01
TCGA-AA-3521	COAD	snp__genome_wide_snp_6__broad_mit_edu__Level_2__tangent_copynumber__data	Analyte Replicate Filter	TCGA-AA-3521-01A-01D-0819-01	TCGA-AA-3521-01A-01D-1549-01
